TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME,HEADING
699.082,000-0000-0000,AV,328676.69098972034,4153395.9825552083,HMC,27.270000457763672
699.082,000-0000-0044,OTHERS,328668.0328953391,4153376.6717995126,HMC,26.258940935134888
699.082,000-0000-0043,OTHERS,328647.82936469244,4153368.054627103,HMC,26.28000044822693
699.082,000-0000-0022,OTHERS,328679.10677619104,4153386.4955359246,HMC,26.483525812625885
699.082,000-0000-0007,OTHERS,328662.58663862356,4153377.265192969,HMC,28.18247377872467
699.082,000-0000-0159,OTHERS,328641.2558979426,4153369.785097824,HMC,29.5600004196167
699.082,000-0000-0137,OTHERS,328755.1284668274,4153442.2091164417,HMC,27.290000457316637
699.082,000-0000-0009,OTHERS,328746.9537788529,4153432.3138120254,HMC,27.30000045709312
699.082,000-0000-0102,OTHERS,328710.0915405485,4153398.5179512114,HMC,20.100000381469727
699.082,000-0000-0122,OTHERS,328729.5088424445,4153419.77749704,HMC,27.45000046491623
699.082,000-0000-0089,OTHERS,328702.5777949437,4153422.4328207374,HMC,20.687485694885254
699.082,000-0000-0055,OTHERS,328715.0869217333,4153410.543284705,HMC,26.260000467300415
699.082,000-0000-0020,OTHERS,328659.25424248225,4153399.3359702523,HMC,353.3303985595703
699.082,000-0000-0093,OTHERS,328678.92934014276,4153410.1874831244,HMC,23.560543537139893
699.082,000-0000-0083,OTHERS,328673.5605198204,4153371.8381691594,HMC,25.112295866012573
699.082,000-0000-0110,OTHERS,328650.639393416,4153394.2990675685,HMC,26.677556931972504
699.082,000-0000-0095,OTHERS,328685.31165374443,4153407.153329488,HMC,238.84251022338867
699.082,000-0000-0124,OTHERS,328670.9170869494,4153407.1153510315,HMC,335.17447662353516
699.082,000-0000-0025,OTHERS,328690.50527653063,4153419.3858081168,HMC,26.733463644981384
699.082,000-0000-0121,OTHERS,328690.19853079045,4153382.6497254646,HMC,27.270000457763672
699.082,000-0000-0021,OTHERS,328705.89008274564,4153390.6020592614,HMC,345.80532455444336
699.082,000-0000-0067,OTHERS,328708.2381278016,4153422.8559219143,HMC,18.465285301208496
699.082,000-0000-0082,OTHERS,328702.7947461575,4153388.6045529875,HMC,63.41734313964844
699.082,000-0000-0090,OTHERS,328637.09089980146,4153415.8989943624,HMC,31.093838930130005
699.082,000-0000-0091,OTHERS,328664.5708302903,4153360.9927739976,HMC,46.300987243652344
699.082,000-0000-0056,AGENT,328645.1789875303,4153392.295287703,HMC,27.270000457763672
699.082,000-0000-0129,OTHERS,328680.2420402334,4153377.048738927,HMC,47.5480842590332
699.082,000-0000-0132,OTHERS,328662.02579322306,4153428.7880730606,HMC,24.46636199951172
699.082,000-0000-0099,OTHERS,328667.0722310678,4153400.5821604016,HMC,122.77823257446289
699.082,000-0000-0088,OTHERS,328710.1391874562,4153388.34372629,HMC,57.842363357543945
699.082,000-0000-0118,OTHERS,328691.6867601369,4153443.899180683,HMC,52.66533279418945
699.082,000-0000-0105,OTHERS,328716.8589108167,4153428.3626666106,HMC,6.546928405761719
699.082,000-0000-0127,OTHERS,328696.76343482983,4153442.747981253,HMC,27.270000457763672
699.082,000-0000-0037,OTHERS,328675.4831845698,4153357.6911792257,HMC,32.47291135787964
699.082,000-0000-0142,OTHERS,328727.7270457722,4153433.1960605723,HMC,5.870141983032227
699.082,000-0000-0014,OTHERS,328721.2399779651,4153428.0783918835,HMC,27.270000457763672
699.082,000-0000-0147,OTHERS,328686.18900137773,4153441.1850870545,HMC,27.270000457763672
699.082,000-0000-0057,OTHERS,328657.1629552102,4153426.4992447975,HMC,27.270000457763672
699.082,000-0000-0011,OTHERS,328668.0701998872,4153415.7286671535,HMC,7.825023651123047
699.082,000-0000-0036,OTHERS,328671.7569781658,4153416.1010690327,HMC,343.12829971313477
699.082,000-0000-0096,OTHERS,328669.2119918719,4153432.6216014703,HMC,26.719896376132965
699.082,000-0000-0130,OTHERS,328696.0414397721,4153378.522685558,HMC,27.270000457763672
699.082,000-0000-0027,OTHERS,328647.15781379654,4153395.125250057,HMC,301.7300682067871
699.082,000-0000-0045,OTHERS,328689.0657601121,4153379.245171405,HMC,27.270000457763672
699.082,000-0000-0092,OTHERS,328693.60281973984,4153367.8543141508,HMC,27.270000457763672
699.082,000-0000-0013,OTHERS,328784.02240310644,4153443.884014906,HMC,208.27000045776367
699.082,000-0000-0042,OTHERS,328698.2930350879,4153371.699470185,HMC,300.1375389099121
699.082,000-0000-0107,OTHERS,328695.96389788465,4153369.125141395,HMC,27.270000457763672
699.082,000-0000-0097,OTHERS,328702.9479995949,4153372.9196887854,HMC,280.53374099731445
699.082,000-0000-0070,OTHERS,328692.67000513035,4153383.07244114,HMC,27.270000457763672
699.082,000-0000-0106,OTHERS,328664.7533951844,4153349.7497056015,HMC,29.229700326919556
699.082,000-0000-0058,OTHERS,328695.26579732756,4153384.386863609,HMC,27.270000457763672
699.082,000-0000-0003,OTHERS,328762.08778830024,4153432.74601247,HMC,208.27000045776367
699.082,000-0000-0041,OTHERS,328825.3037512195,4153478.382762695,HMC,208.27000045776367
699.082,000-0000-0005,OTHERS,328755.8423514081,4153436.895654224,HMC,208.27000045776367
699.082,000-0000-0133,OTHERS,328693.90596761246,4153383.7377975173,HMC,27.270000457763672
699.082,000-0000-0012,OTHERS,328774.1481571719,4153453.982122644,HMC,208.27000045776367
699.082,000-0000-0040,OTHERS,328697.9308973321,4153385.7963086567,HMC,27.270000457763672
699.082,000-0000-0069,OTHERS,328611.2260056972,4153402.7532186587,HMC,22.72396230697632
