TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
315967729.58294773,00000000-0000-0000-0000-000000000000,AV,679.0297528584005,1044.7350116618443,MIA
315967729.58294773,00000000-0000-0000-0000-000000015383,OTHERS,674.9794844570503,1041.6030053106253,MIA
315967729.58294773,00000000-0000-0000-0000-000000015629,OTHERS,691.9121583333869,1033.7923474442498,MIA
315967729.58294773,00000000-0000-0000-0000-000000016238,OTHERS,699.0798221382512,998.6999456696112,MIA
315967729.58294773,00000000-0000-0000-0000-000000016311,OTHERS,726.4774977266303,1009.343299170224,MIA
315967729.58294773,00000000-0000-0000-0000-000000015772,OTHERS,689.367083127532,1043.7318387456178,MIA
315967729.58294773,00000000-0000-0000-0000-000000015949,OTHERS,688.9145335427806,1001.5912053283287,MIA
315967729.58294773,00000000-0000-0000-0000-000000016314,OTHERS,700.6156350359204,922.5404083531944,MIA
315967729.58294773,00000000-0000-0000-0000-000000016320,OTHERS,724.6414152654761,1049.849814734374,MIA
315967729.58294773,00000000-0000-0000-0000-000000016289,OTHERS,727.4582737103723,1059.0059908463518,MIA
315967729.58294773,00000000-0000-0000-0000-000000015862,OTHERS,673.7289306378112,1044.4207111771498,MIA
315967729.58294773,00000000-0000-0000-0000-000000016283,OTHERS,696.0970901660272,1014.4907993488946,MIA
315967729.58294773,00000000-0000-0000-0000-000000016340,OTHERS,727.2859460655327,1067.900295414946,MIA
315967729.58294773,00000000-0000-0000-0000-000000016341,OTHERS,719.9406240030513,1015.0299735971266,MIA
315967729.58294773,00000000-0000-0000-0000-000000016228,OTHERS,718.5637166840535,1017.5226282883926,MIA
315967729.58294773,00000000-0000-0000-0000-000000016122,OTHERS,720.2729769374894,1039.213502475464,MIA
315967729.58294773,00000000-0000-0000-0000-000000016342,OTHERS,715.1512366895082,1027.8043501861057,MIA
315967729.58294773,00000000-0000-0000-0000-000000016117,AGENT,712.5169399964259,1051.0702560753275,MIA
315967729.58294773,00000000-0000-0000-0000-000000015950,OTHERS,688.7885141725958,1007.6381446357087,MIA
315967729.58294773,00000000-0000-0000-0000-000000016335,OTHERS,699.0931150468318,985.3346541268685,MIA
315967729.58294773,00000000-0000-0000-0000-000000016288,OTHERS,726.5362513624907,981.8332314758728,MIA
315967729.58294773,00000000-0000-0000-0000-000000016330,OTHERS,724.2460847721643,1066.7532068257628,MIA
